regex,matcher,regex_length,regex_complexity,input_file,input_file_size (bytes),execution_time (ms),file_type
\b[0-9]{2}\b,-F,12,7.2,10.txt,1022010,5.407253901163737,text
\b[0-9]{2}\b,-F,12,7.2,47.txt,18109,3.5010973612467446,text
\b[0-9]{2}\b,-F,12,7.2,32.txt,997680,3.7697950998942056,text
\b[0-9]{2}\b,-F,12,7.2,15.txt,2064090,6.991465886433919,text
\b[0-9]{2}\b,-F,12,7.2,12.txt,16512720,11.813084284464518,text
\b[0-9]{2}\b,-F,12,7.2,59.txt,12572,4.112084706624349,text
\b[0-9]{2}\b,-F,12,7.2,33.txt,498840,4.1929880777994795,text
\b[0-9]{2}\b,-F,12,7.2,30.txt,3990720,5.619128545125325,text
\b[0-9]{2}\b,-F,12,7.2,18.txt,13598640,21.8199888865153,text
\b[0-9]{2}\b,-F,12,7.2,20.txt,3399660,9.464422861735025,text
\b[0-9]{2}\b,-F,12,7.2,38.txt,709080,5.371491114298503,text
\b[0-9]{2}\b,-F,12,7.2,25.txt,3492180,8.588473002115885,text
\b[0-9]{2}\b,-F,12,7.2,3.txt,6045810,10.412375132242838,text
\b[0-9]{2}\b,-F,12,7.2,0.txt,48366480,36.28873825073242,text
\b[0-9]{2}\b,-F,12,7.2,41.txt,23636,3.4639835357666016,text
\b[0-9]{2}\b,-F,12,7.2,9.txt,3066030,8.742729822794596,text
\b[0-9]{2}\b,-F,12,7.2,53.txt,14885,3.912846247355143,text
\b[0-9]{2}\b,-F,12,7.2,50.txt,446550,4.72561518351237,text
\b[0-9]{2}\b,-F,12,7.2,11.txt,204402,4.237731297810872,text
\b[0-9]{2}\b,-F,12,7.2,19.txt,6799320,11.645158131917318,text
\b[0-9]{2}\b,-F,12,7.2,21.txt,1699830,3.8109620412190757,text
\b[0-9]{2}\b,-F,12,7.2,51.txt,223275,4.439036051432292,text
\b[0-9]{2}\b,-F,12,7.2,35.txt,33256,4.145463307698567,text
\b[0-9]{2}\b,-F,12,7.2,17.txt,137606,4.49379285176595,text
\b[0-9]{2}\b,-F,12,7.2,49.txt,893100,5.311250686645508,text
\b[0-9]{2}\b,-F,12,7.2,24.txt,6984360,12.94088363647461,text
\b[0-9]{2}\b,-F,12,7.2,23.txt,113322,4.615227381388347,text
\b[0-9]{2}\b,-F,12,7.2,14.txt,4128180,8.601188659667969,text
\b[0-9]{2}\b,-F,12,7.2,31.txt,1995360,4.474401473999023,text
\b[0-9]{2}\b,-F,12,7.2,57.txt,188580,3.0101935068766275,text
\b[0-9]{2}\b,-F,12,7.2,7.txt,12264120,10.013500849405924,text
\b[0-9]{2}\b,-F,12,7.2,52.txt,74425,3.5431385040283203,text
\b[0-9]{2}\b,-F,12,7.2,40.txt,118180,4.5566558837890625,text
\b[0-9]{2}\b,-F,12,7.2,4.txt,2015270,6.691694259643555,text
\b[0-9]{2}\b,-F,12,7.2,8.txt,6132060,12.32767105102539,text
\b[0-9]{2}\b,-F,12,7.2,56.txt,377160,4.209756851196289,text
\b[0-9]{2}\b,-F,12,7.2,39.txt,354540,4.677136739095052,text
\b[0-9]{2}\b,-F,12,7.2,6.txt,24528240,28.228123982747395,text
\b[0-9]{2}\b,-F,12,7.2,44.txt,543270,4.881143569946289,text
\b[0-9]{2}\b,-F,12,7.2,29.txt,58203,4.6164194742838545,text
\b[0-9]{2}\b,-F,12,7.2,37.txt,1418160,6.529649098714192,text
\b[0-9]{2}\b,-F,12,7.2,16.txt,688030,5.014340082804362,text
\b[0-9]{2}\b,-F,12,7.2,13.txt,8256360,12.969573338826498,text
\b[0-9]{2}\b,-F,12,7.2,28.txt,291015,4.522482554117839,text
\b[0-9]{2}\b,-F,12,7.2,54.txt,1508640,6.473382314046224,text
\b[0-9]{2}\b,-F,12,7.2,43.txt,1086540,5.837202072143555,text
\b[0-9]{2}\b,-F,12,7.2,2.txt,12091620,16.493479410807293,text
\b[0-9]{2}\b,-F,12,7.2,36.txt,2836320,7.676045099894206,text
\b[0-9]{2}\b,-F,12,7.2,26.txt,1746090,6.293932596842448,text
\b[0-9]{2}\b,-F,12,7.2,5.txt,403054,5.137443542480469,text
\b[0-9]{2}\b,-F,12,7.2,34.txt,166280,4.488786061604817,text
\b[0-9]{2}\b,-F,12,7.2,1.txt,24183240,22.899786631266277,text
\b[0-9]{2}\b,-G,12,7.2,27.txt,873045,2.1346410115559897,text
\b[0-9]{2}\b,-G,12,7.2,45.txt,271635,4.69215710957845,text
\b[0-9]{2}\b,-G,12,7.2,22.txt,566610,5.025148391723633,text
\b[0-9]{2}\b,-G,12,7.2,48.txt,1786200,5.358139673868815,text
\b[0-9]{2}\b,-G,12,7.2,58.txt,62860,3.6954879760742188,text
\b[0-9]{2}\b,-G,12,7.2,42.txt,2173080,5.7099660237630205,text
\b[0-9]{2}\b,-G,12,7.2,55.txt,754320,5.110343297322591,text
\b[0-9]{2}\b,-G,12,7.2,46.txt,90545,3.5657882690429688,text
\b[0-9]{2}\b,-G,12,7.2,10.txt,1022010,3.294706344604492,text
\b[0-9]{2}\b,-G,12,7.2,47.txt,18109,2.5756359100341797,text
\b[0-9]{2}\b,-G,12,7.2,32.txt,997680,4.703442255655925,text
\b[0-9]{2}\b,-G,12,7.2,15.txt,2064090,5.075772603352864,text
\b[0-9]{2}\b,-G,12,7.2,12.txt,16512720,10.454893112182617,text
\b[0-9]{2}\b,-G,12,7.2,59.txt,12572,4.450082778930664,text
\b[0-9]{2}\b,-G,12,7.2,33.txt,498840,4.867792129516602,text
\b[0-9]{2}\b,-G,12,7.2,30.txt,3990720,6.208260854085286,text
\b[0-9]{2}\b,-G,12,7.2,18.txt,13598640,9.534676869710287,text
\b[0-9]{2}\b,-G,12,7.2,20.txt,3399660,4.945119222005208,text
\b[0-9]{2}\b,-G,12,7.2,38.txt,709080,4.569053649902344,text
\b[0-9]{2}\b,-G,12,7.2,25.txt,3492180,5.659023920694987,text
\b[0-9]{2}\b,-G,12,7.2,3.txt,6045810,6.533066431681315,text
\b[0-9]{2}\b,-G,12,7.2,0.txt,48366480,17.02419916788737,text
\b[0-9]{2}\b,-G,12,7.2,41.txt,23636,4.436095555623372,text
\b[0-9]{2}\b,-G,12,7.2,9.txt,3066030,5.824565887451172,text
\b[0-9]{2}\b,-G,12,7.2,53.txt,14885,4.372994105021159,text
\b[0-9]{2}\b,-G,12,7.2,50.txt,446550,4.118522008260091,text
\b[0-9]{2}\b,-G,12,7.2,11.txt,204402,3.1992594401041665,text
\b[0-9]{2}\b,-G,12,7.2,19.txt,6799320,5.840857823689778,text
\b[0-9]{2}\b,-G,12,7.2,21.txt,1699830,4.607836405436198,text
\b[0-9]{2}\b,-G,12,7.2,51.txt,223275,4.829565684000651,text
\b[0-9]{2}\b,-G,12,7.2,35.txt,33256,4.359960556030273,text
\b[0-9]{2}\b,-G,12,7.2,17.txt,137606,4.461208979288737,text
\b[0-9]{2}\b,-G,12,7.2,49.txt,893100,4.37164306640625,text
\b[0-9]{2}\b,-G,12,7.2,24.txt,6984360,7.533152898152669,text
\b[0-9]{2}\b,-G,12,7.2,23.txt,113322,4.577795664469401,text
\b[0-9]{2}\b,-G,12,7.2,14.txt,4128180,6.5809885660807295,text
\b[0-9]{2}\b,-G,12,7.2,31.txt,1995360,5.262533823649089,text
\b[0-9]{2}\b,-G,12,7.2,57.txt,188580,4.048824310302734,text
\b[0-9]{2}\b,-G,12,7.2,7.txt,12264120,7.769982020060222,text
\b[0-9]{2}\b,-G,12,7.2,52.txt,74425,4.292090733846028,text
\b[0-9]{2}\b,-G,12,7.2,40.txt,118180,4.632790883382161,text
\b[0-9]{2}\b,-G,12,7.2,4.txt,2015270,5.225817362467448,text
\b[0-9]{2}\b,-G,12,7.2,8.txt,6132060,7.102489471435547,text
\b[0-9]{2}\b,-G,12,7.2,56.txt,377160,5.144755045572917,text
\b[0-9]{2}\b,-G,12,7.2,39.txt,354540,4.0798187255859375,text
\b[0-9]{2}\b,-G,12,7.2,6.txt,24528240,12.25129763285319,text
\b[0-9]{2}\b,-G,12,7.2,44.txt,543270,4.930575688680013,text
\b[0-9]{2}\b,-G,12,7.2,29.txt,58203,4.125436147054036,text
\b[0-9]{2}\b,-G,12,7.2,37.txt,1418160,4.762967427571614,text
\b[0-9]{2}\b,-G,12,7.2,16.txt,688030,5.224307378133138,text
\b[0-9]{2}\b,-G,12,7.2,13.txt,8256360,6.2113602956136065,text
\b[0-9]{2}\b,-G,12,7.2,28.txt,291015,2.702474594116211,text
\b[0-9]{2}\b,-G,12,7.2,54.txt,1508640,6.282965342203776,text
\b[0-9]{2}\b,-G,12,7.2,43.txt,1086540,4.8360029856363935,text
\b[0-9]{2}\b,-G,12,7.2,2.txt,12091620,9.252230326334635,text
\b[0-9]{2}\b,-G,12,7.2,36.txt,2836320,4.518826802571614,text
\b[0-9]{2}\b,-G,12,7.2,26.txt,1746090,3.481785456339518,text
\b[0-9]{2}\b,-G,12,7.2,5.txt,403054,3.7882328033447266,text
\b[0-9]{2}\b,-G,12,7.2,34.txt,166280,4.397869110107422,text
\b[0-9]{2}\b,-G,12,7.2,1.txt,24183240,11.765877405802408,text
\b[0-9]{2}\b,-P,12,7.2,27.txt,873045,12.038071950276693,text
\b[0-9]{2}\b,-P,12,7.2,45.txt,271635,8.209625879923502,text
\b[0-9]{2}\b,-P,12,7.2,22.txt,566610,6.102085113525391,text
\b[0-9]{2}\b,-P,12,7.2,48.txt,1786200,16.091187795003254,text
